		Z	A	B	C	D	E	
------------------------------------------------------
Z	|	0	7	0	0	0	0	
A	|	7	0	3	0	0	0	
B	|	0	3	0	10	0	0	
C	|	0	0	10	0	6	0	
D	|	0	0	0	6	0	0	
E	|	0	0	0	0	0	0	

Total Protein Count: 	6
Total Interactive Proteins Count: 	5
Total Non-Interactive Proteins Count: 	1
Total Interactions Count: 	4
Total Interactions Strength: 	52
Is every protein interacting? 	0
Most interacting proteins in terms of interactions count: 	A B C 
Least interacting proteins in terms of interactions count: 	E 
Proteins with strongest individual interaction: 	B C 
Proteins with strongest total interactions strength: 	C 
Proteins with weakest total interactions strength: 	E 
All interacting proteins: 	Z A B C D 
All Non-interacting proteins: 	E 
Proteins Sorted in Interactions Count (lowest to highest): 	E Z D A B C 
Proteins Sorted in Interactions Strength (weakest to strongest): 	E D Z A B C 
